"VPB","5.149.940","145.156.939.000","584.030","16.495.013.000","4.565.910","128.661.926.000","4.244.144","23.28%"
"FUEVFVND","2.548.570","39.399.767.500","6.470","99.754.000","2.542.100","39.300.013.500","-773.415",""
"HSG","2.139.890","39.454.570.000","81.980","1.496.230.000","2.057.910","37.958.340.000","164.585.819","11.98%"
"HPG","2.411.980","87.470.494.500","774.330","27.868.052.500","1.637.650","59.602.442.000","524.950.524","33.16%"
"MBB","1.444.240","31.123.370.000","32.400","694.650.000","1.411.840","30.428.720.000","6","23.00%"
"GEX","1.026.190","21.510.178.000","3.000","62.950.000","1.023.190","21.447.228.000","172.579.963","13.65%"
"ROS","1.028.480","2.237.410.000","125.660","279.280.000","902.820","1.958.130.000","268.353.645","1.72%"
"KBC","1.017.330","16.017.000.000","192.630","3.059.640.000","824.700","12.957.360.000","145.880.954","18.33%"
"KDH","771.450","20.792.930.000","17.320","465.640.000","754.130","20.327.290.000","57.803.097","39.01%"
"CTG","1.047.870","35.493.664.500","587.510","19.937.815.500","460.360","15.555.849.000","36.874.034","99.01%"
"VNM","885.300","96.900.504.660","516.030","56.470.020.660","369.270","40.430.484.000","875.327.179","58.12%"
"ASM","364.580","4.403.027.000","210","2.600.000","364.370","4.400.427.000","120.340.902","2.51%"
"VIC","536.680","56.400.608.000","198.190","20.795.323.000","338.490","35.605.285.000","770.327.893","13.90%"
"FCN","363.000","4.733.650.000","27.320","355.699.500","335.680","4.377.950.500","25.721.464","53.48%"
"DPM","331.420","5.723.770.000","20.250","348.550.000","311.170","5.375.220.000","141.247.499","12.91%"
"BCM","301.470","11.609.696.000","2.000","81.400.000","299.470","11.528.296.000","488.355.960","1.82%"
"MSN","379.290","31.631.542.000","85.310","7.110.705.000","293.980","24.520.837.000","180.053.572","33.67%"
"HDG","279.370","8.614.070.000","930","27.950.000","278.440","8.586.120.000","59.445.081","10.47%"
"HNG","272.670","3.767.950.000","10.400","143.310.000","262.270","3.624.640.000","541.353.868","0.17%"
"PET","257.860","4.052.340.000","5.300","82.550.000","252.560","3.969.790.000","31.586.050","12.53%"
"HHS","243.680","1.183.430.000","0","0","243.680","1.183.430.000","125.659.715","3.26%"
"PHR","234.890","15.302.840.000","7.360","478.780.000","227.530","14.824.060.000","48.860.055","12.94%"
"STK","203.890","4.220.134.000","0","0","203.890","4.220.134.000","28.455.822","8.77%"
"ITA","195.610","1.041.970.000","7.300","38.270.000","188.310","1.003.700.000","397.977.125","1.37%"
"HAH","210.530","3.513.049.500","22.350","373.450.000","188.180","3.139.599.500","15.409.825","17.41%"
"FLC","194.310","830.480.700","16.030","67.646.000","178.280","762.834.700","330.636.797","2.43%"
"TDC","163.600","1.568.780.000","10","100.000","163.590","1.568.680.000","46.135.430","2.86%"
"VHM","919.300","78.038.392.520","761.530","64.641.161.520","157.770","13.397.231.000","905.331.857","21.97%"
"HDC","151.340","4.184.350.000","1.180","32.510.000","150.160","4.151.840.000","30.703.087","2.84%"
"LHG","149.890","5.121.890.000","10.100","345.820.000","139.790","4.776.070.000","21.344.489","6.32%"
"DCM","150.000","1.836.695.000","12.750","156.186.500","137.250","1.680.508.500","244.568.573","2.80%"
"AAA","151.460","1.950.097.000","16.810","217.108.000","134.650","1.732.989.000","216.624.728","2.43%"
"PVD","274.140","3.619.771.000","145.810","1.927.109.500","128.330","1.692.661.500","169.174.473","8.87%"
"KSB","129.020","3.520.977.500","5.200","142.407.500","123.820","3.378.570.000","22.715.303","13.77%"
"DXG","176.700","2.539.466.500","61.820","887.787.000","114.880","1.651.679.500","65.314.494","36.44%"
"SCR","94.740","680.560.000","20","140.000","94.720","680.420.000","173.648.361","1.60%"
"VGC","101.450","2.817.241.000","9.600","267.840.000","91.850","2.549.401.000","185.385.478","7.65%"
"FUESSV30","90.150","1.096.667.600","150","1.816.500","90.000","1.094.851.100","2.788.310",""
"TDH","91.220","707.480.000","1.550","11.970.000","89.670","695.510.000","45.532.021","8.58%"
"VRE","3.137.430","89.317.115.930","3.052.120","86.871.723.930","85.310","2.445.392.000","420.285.490","30.95%"
"VHC","94.100","4.179.493.000","12.980","575.760.000","81.120","3.603.733.000","123.225.474","32.80%"
"SBT","565.590","10.699.990.000","485.450","9.204.940.000","80.140","1.495.050.000","549.907.927","9.61%"
"AST","78.900","4.257.769.000","0","0","78.900","4.257.769.000","3.005.838","42.32%"
"PTB","76.620","4.547.190.000","90","5.310.000","76.530","4.541.880.000","15.363.040","17.39%"
"AMD","85.500","228.113.600","10.000","26.800.000","75.500","201.313.600","79.136.093","0.60%"
"BMP","70.840","4.398.753.000","2.840","177.370.000","68.000","4.221.383.000","14.545.512","82.23%"
"SAB","74.560","14.590.153.000","8.730","1.704.939.000","65.830","12.885.214.000","236.450.449","63.13%"
"HAI","64.610","175.000.000","0","0","64.610","175.000.000","87.409.804","1.15%"
"NKG","85.670","1.049.440.000","24.330","290.410.000","61.340","759.030.000","152.118.531","16.42%"
"LDG","54.700","366.220.000","0","0","54.700","366.220.000","115.234.664","1.03%"
"GEG","352.680","5.713.943.000","300.000","4.849.361.000","52.680","864.582.000","33.987.030","38.80%"
"SCS","47.970","6.044.480.000","150","18.890.000","47.820","6.025.590.000","13.875.215","25.05%"
"TTA","43.680","694.146.000","0","0","43.680","694.146.000","66.062.030","0.07%"
"PDR","51.550","2.160.051.000","8.440","357.781.000","43.110","1.802.270.000","191.143.844","0.75%"
"SZC","42.070","1.267.485.500","0","0","42.070","1.267.485.500","48.058.090","0.94%"
"AGR","78.390","482.317.000","40.000","248.000.000","38.390","234.317.000","99.021.821","2.29%"
"DGC","32.300","1.585.521.000","0","0","32.300","1.585.521.000","70.423.071","1.91%"
"APG","31.570","318.857.000","0","0","31.570","318.857.000","33.347.660","2.00%"
"GAS","78.000","6.584.388.000","49.190","4.134.490.000","28.810","2.449.898.000","879.442.972","3.08%"
"VSC","59.160","3.147.784.000","30.720","1.632.679.000","28.440","1.515.105.000","11.396.676","28.32%"
"GIL","42.220","1.715.690.000","14.790","601.090.000","27.430","1.114.600.000","14.477.400","8.79%"
"VJC","36.640","4.355.635.000","9.340","1.111.196.000","27.300","3.244.439.000","62.481.706","18.46%"
"IDI","28.980","171.680.000","2.210","12.850.000","26.770","158.830.000","110.602.910","0.41%"
"FMC","25.950","972.490.000","0","0","25.950","972.490.000","19.673.031","8.89%"
"DMC","25.910","1.438.136.000","10","555.000","25.900","1.437.581.000","14.720.710","57.61%"
"BCG","25.890","212.738.900","200","1.640.000","25.690","211.098.900","29.143.857","18.07%"
"FTS","26.060","340.630.000","630","8.220.000","25.430","332.410.000","103.670.576","21.62%"
"HVN","37.420","977.180.000","14.290","373.120.000","23.130","604.060.000","294.951.676","9.20%"
"DAH","20.970","80.021.500","0","0","20.970","80.021.500","16.488.980","0.79%"
"SHA","20.000","86.000.000","0","0","20.000","86.000.000","14.547.964","1.05%"
"TDM","19.580","533.820.000","50","1.360.000","19.530","532.460.000","42.454.400","6.55%"
"TVS","19.240","228.956.000","0","0","19.240","228.956.000","20.818.177","25.90%"
"TSC","18.390","51.160.000","0","0","18.390","51.160.000","71.504.536","0.57%"
"HAX","23.710","431.901.000","5.550","101.283.000","18.160","330.618.000","14.889.237","8.48%"
"DBC","21.500","920.117.500","4.100","176.250.000","17.400","743.867.500","49.239.837","2.00%"
"DPG","20.950","615.770.000","5.000","149.500.000","15.950","466.270.000","21.865.313","0.41%"
"GTN","14.870","358.446.500","0","0","14.870","358.446.500","249.293.531","0.28%"
"CRE","24.490","788.810.000","9.710","310.303.500","14.780","478.506.500","27.440.688","14.70%"
"IJC","14.530","208.910.000","60","840.000","14.470","208.070.000","65.212.225","1.43%"
"DHC","24.180","1.409.548.000","11.530","669.736.000","12.650","739.812.000","10.535.527","29.82%"
"CTD","49.290","3.071.722.000","37.230","2.319.704.000","12.060","752.018.000","2.399.287","45.97%"
"UIC","12.310","535.122.000","500","21.450.000","11.810","513.672.000","2.180.820","21.74%"
"TTB","13.140","57.119.900","1.410","6.147.600","11.730","50.972.300","22.871.854","0.16%"
"APC","11.000","260.960.000","200","4.700.000","10.800","256.260.000","6.613.794","16.13%"
"TGG","10.370","10.580.000","0","0","10.370","10.580.000","13.128.375","0.91%"
"HTV","9.610","120.130.000","0","0","9.610","120.130.000","4.439.027","15.12%"
"PLP","9.510","70.580.000","0","0","9.510","70.580.000","18.870.633","1.82%"
"TNI","8.600","24.780.000","0","0","8.600","24.780.000","25.378.740","0.66%"
"SHI","8.360","73.045.200","0","0","8.360","73.045.200","42.438.783","2.71%"
"CRC","6.730","116.687.000","0","0","6.730","116.687.000","7.190.800","1.06%"
"SZL","6.330","340.274.000","0","0","6.330","340.274.000","6.742.750","15.29%"
"SJS","8.020","220.426.000","2.510","69.778.000","5.510","150.648.000","53.820.304","2.14%"
"VIB","8.610","285.507.500","3.430","114.556.000","5.180","170.951.500","2.706.388","20.98%"
"DHM","4.830","45.103.800","0","0","4.830","45.103.800","15.104.289","0.89%"
"UDC","4.620","24.400.000","0","0","4.620","24.400.000","15.622.560","4.36%"
"TLG","7.330","287.957.000","2.800","109.444.000","4.530","178.513.000","57.851.897","25.63%"
"TIP","4.260","146.730.000","10","350.000","4.250","146.380.000","8.948.573","14.59%"
"CTI","7.180","103.143.500","3.000","44.250.000","4.180","58.893.500","25.750.195","8.13%"
"QCG","4.180","25.595.100","170","1.042.500","4.010","24.552.600","133.490.588","0.48%"
"KDC","5.660","202.720.000","2.030","72.870.000","3.630","129.850.000","193.714.695","24.52%"
