"SFG","7.65","0.50 (7.0 %)","7.15","7.45","7.65","7.44","291,760","2,227,000,000","0","0"
"CMV","13.80","0.90 (7.0 %)","12.90","13.80","13.80","13.80","320","4,000,000","0","0"
"C47","8.77","0.57 (7.0 %)","8.20","8.20","8.77","8.03","458,740","3,788,000,000","0","0"
"HAI","2.93","0.19 (6.9 %)","2.74","2.93","2.93","2.90","5,186,330","15,191,000,000","0","0"
"CCL","8.19","0.53 (6.9 %)","7.66","7.80","8.19","7.80","1,465,340","11,789,000,000","0","0"
"STK","17.05","1.10 (6.9 %)","15.95","16.00","17.05","16.00","623,210","10,446,000,000","0","0"
"BMP","57.40","3.70 (6.9 %)","53.70","53.60","57.40","53.60","231,490","12,717,000,000","0","0"
"HU1","6.52","0.42 (6.9 %)","6.10","6.52","6.52","6.52","60","0","0","0"
"FLC","4.36","0.28 (6.9 %)","4.08","4.22","4.36","4.19","18,641,290","80,567,000,000","200,126","872,549,360"
"VAF","9.72","0.62 (6.8 %)","9.10","9.72","9.72","9.72","10","0","0","0"
"FUESSV30","12.02","0.76 (6.7 %)","11.26","11.42","12.02","11.42","347,150","3,977,000,000","0","0"
"AMD","3.02","0.19 (6.7 %)","2.83","2.89","3.02","2.89","9,988,290","30,073,000,000","0","0"
"TDG","2.89","0.18 (6.6 %)","2.71","2.89","2.89","2.89","534,620","1,545,000,000","0","0"
"SMC","12.50","0.70 (5.9 %)","11.80","12.00","12.60","11.70","469,470","5,702,000,000","0","0"
"VSH","20.00","1.10 (5.8 %)","18.90","18.80","20.20","18.80","180,260","3,546,000,000","0","0"
"PGI","20.05","1.05 (5.5 %)","19.00","19.90","20.30","18.90","20,950","400,000,000","0","0"
"VCF","221.50","10.50 (5.0 %)","211.00","219.40","223.00","214.00","920","199,000,000","0","0"
"SAV","16.00","0.75 (4.9 %)","15.25","15.45","16.30","15.20","136,960","2,163,000,000","0","0"
"CSM","17.30","0.80 (4.8 %)","16.50","16.60","17.50","16.50","622,360","10,660,000,000","0","0"
"THI","28.50","1.30 (4.8 %)","27.20","28.00","28.50","28.00","4,180","118,000,000","0","0"
"DHC","48.80","2.20 (4.7 %)","46.60","47.00","48.80","46.80","1,276,810","61,222,000,000","0","0"
"LEC","15.70","0.70 (4.7 %)","15.00","13.95","15.70","13.95","50","1,000,000","0","0"
"VSC","42.50","1.80 (4.4 %)","40.70","40.70","42.60","40.60","274,470","11,467,000,000","0","0"
"HPG","30.90","1.30 (4.4 %)","29.60","29.80","30.90","29.65","29,534,980","898,703,000,000","552,010","16,441,564,200"
"SFI","24.00","1.00 (4.3 %)","23.00","23.80","24.50","23.20","1,380","32,000,000","0","0"
"DPG","27.10","1.10 (4.2 %)","26.00","26.40","27.10","26.00","338,750","9,011,000,000","0","0"
"GTN","24.70","1.00 (4.2 %)","23.70","23.90","24.70","23.90","3,185,870","77,735,000,000","0","0"
"PLP","7.06","0.27 (4.0 %)","6.79","6.79","7.06","6.79","890,300","6,181,000,000","0","0"
"VIC","104.00","3.90 (3.9 %)","100.10","100.20","104.90","100.00","1,761,080","181,314,000,000","4,946,160","482,190,922,000"
"SJS","25.55","0.95 (3.9 %)","24.60","26.20","26.20","25.00","225,870","5,821,000,000","0","0"
"CRE","26.50","0.95 (3.7 %)","25.55","25.60","26.50","25.40","1,324,240","34,456,000,000","0","0"
"TSC","2.79","0.10 (3.7 %)","2.69","2.69","2.82","2.69","615,780","1,689,000,000","0","0"
"CDC","26.00","0.90 (3.6 %)","25.10","26.55","26.55","26.00","380","10,000,000","0","0"
"HAG","4.87","0.15 (3.2 %)","4.72","4.73","4.97","4.73","7,036,750","34,096,000,000","0","0"
"TNA","14.90","0.45 (3.1 %)","14.45","14.50","15.00","14.45","811,210","12,057,000,000","150,000","2,190,000,000"
"VNM","110.00","3.30 (3.1 %)","106.70","107.50","110.00","107.10","2,946,790","319,582,000,000","185,530","19,782,728,500"
"FIT","8.61","0.25 (3.0 %)","8.36","8.36","8.70","8.31","655,520","5,619,000,000","0","0"
"VHC","41.50","1.20 (3.0 %)","40.30","40.10","41.60","40.10","612,590","25,102,000,000","0","0"
"ILB","17.40","0.50 (3.0 %)","16.90","17.90","17.90","16.90","23,970","409,000,000","0","0"
"BHN","71.00","2.00 (2.9 %)","69.00","70.00","71.00","70.00","6,330","443,000,000","0","0"
"DVP","46.40","1.30 (2.9 %)","45.10","45.10","46.50","44.75","16,180","731,000,000","0","0"
"DPR","43.20","1.20 (2.9 %)","42.00","42.40","43.20","42.40","22,250","957,000,000","0","0"
"TRC","36.00","1.00 (2.9 %)","35.00","35.55","36.00","35.55","2,370","85,000,000","20,000","700,000,000"
"LGC","65.80","1.80 (2.8 %)","64.00","59.60","65.80","59.60","190","11,000,000","0","0"
"SRF","13.15","0.35 (2.7 %)","12.80","13.25","13.25","13.00","1,530","20,000,000","0","0"
"HSL","4.91","0.13 (2.7 %)","4.78","4.78","4.91","4.76","101,110","485,000,000","100,000","490,000,000"
"ROS","2.31","0.06 (2.7 %)","2.25","2.28","2.36","2.28","17,091,770","39,712,000,000","0","0"
"ASM","9.80","0.25 (2.6 %)","9.55","9.61","9.90","9.60","3,251,690","31,937,000,000","0","0"
"HTN","27.60","0.70 (2.6 %)","26.90","28.70","28.70","26.95","196,890","5,511,000,000","0","0"
"VHM","79.50","2.00 (2.6 %)","77.50","78.00","79.90","77.80","5,830,890","460,842,000,000","721,600","57,185,848,000"
"PGD","27.30","0.65 (2.4 %)","26.65","26.55","27.30","26.55","770","21,000,000","0","0"
"SJF","2.14","0.05 (2.4 %)","2.09","2.10","2.19","2.09","861,660","1,838,000,000","0","0"
"CVT","24.40","0.55 (2.3 %)","23.85","23.75","24.80","23.75","848,420","20,788,000,000","600,000","13,320,000,000"
"TS4","3.58","0.08 (2.3 %)","3.50","3.69","3.73","3.58","28,870","107,000,000","0","0"
"HAR","4.07","0.09 (2.3 %)","3.98","3.99","4.08","3.99","634,590","2,561,000,000","0","0"
"EVG","5.05","0.11 (2.2 %)","4.94","4.99","5.26","4.70","4,658,590","23,013,000,000","0","0"
"BVH","55.50","1.20 (2.2 %)","54.30","54.70","55.90","54.30","1,487,560","82,363,000,000","99,200","5,505,600,000"
"PGC","18.90","0.40 (2.2 %)","18.50","18.70","19.00","18.10","5,560","105,000,000","0","0"
"HNG","11.90","0.25 (2.1 %)","11.65","11.65","11.90","11.60","3,020,490","35,442,000,000","0","0"
"TPC","7.35","0.15 (2.1 %)","7.20","7.16","7.35","7.16","980","7,000,000","0","0"
"SGR","19.90","0.40 (2.1 %)","19.50","19.50","20.20","19.50","18,760","373,000,000","0","0"
"DGC","41.90","0.80 (1.9 %)","41.10","41.50","42.00","41.20","524,820","21,888,000,000","0","0"
"UIC","40.00","0.75 (1.9 %)","39.25","39.50","40.90","39.30","3,600","144,000,000","0","0"
"KDH","24.40","0.45 (1.9 %)","23.95","23.95","24.40","23.90","1,239,270","29,857,000,000","0","0"
"QBS","2.20","0.04 (1.9 %)","2.16","2.17","2.23","2.17","21,190","47,000,000","0","0"
"TMP","41.75","0.75 (1.8 %)","41.00","41.10","41.75","41.10","500","21,000,000","0","0"
"MDG","11.20","0.20 (1.8 %)","11.00","10.30","11.20","10.25","6,220","64,000,000","0","0"
"HII","14.75","0.25 (1.7 %)","14.50","14.60","15.00","14.60","222,720","3,288,000,000","169,390","2,456,155,000"
"POM","5.35","0.09 (1.7 %)","5.26","5.40","5.40","5.35","8,900","48,000,000","0","0"
