"TCO","9.64","0.63 (7.0 %)","9.01","8.38","9.64","8.38","410","3,000,000","0","0"
"PET","14.55","0.95 (7.0 %)","13.60","13.80","14.55","13.65","3,534,550","51,004,000,000","0","0"
"VIP","7.51","0.49 (7.0 %)","7.02","7.51","7.51","7.25","1,022,420","7,649,000,000","0","0"
"CVT","36.80","2.40 (7.0 %)","34.40","36.80","36.80","36.80","166,410","6,124,000,000","0","0"
"TDW","26.85","1.75 (7.0 %)","25.10","26.00","26.85","26.00","730","19,000,000","0","0"
"SAV","17.65","1.15 (7.0 %)","16.50","16.80","17.65","16.70","112,330","1,938,000,000","0","0"
"ITD","9.41","0.61 (6.9 %)","8.80","8.62","9.41","8.61","850,120","7,830,000,000","0","0"
"TDP","35.50","2.30 (6.9 %)","33.20","33.60","35.50","33.60","900,760","31,398,000,000","0","0"
"QCG","6.04","0.39 (6.9 %)","5.65","5.65","6.04","5.60","394,450","2,329,000,000","0","0"
"VGC","24.80","1.60 (6.9 %)","23.20","24.00","24.80","23.90","1,105,520","27,378,000,000","0","0"
"SFG","7.30","0.47 (6.9 %)","6.83","6.84","7.30","6.80","200,940","1,414,000,000","0","0"
"PDR","41.95","2.70 (6.9 %)","39.25","39.60","41.95","39.40","3,721,350","150,850,000,000","0","0"
"KDH","26.45","1.70 (6.9 %)","24.75","24.75","26.45","24.65","6,066,190","157,750,000,000","0","0"
"HAP","6.23","0.40 (6.9 %)","5.83","6.23","6.23","6.05","3,018,450","18,743,000,000","0","0"
"TCH","20.30","1.30 (6.8 %)","19.00","19.15","20.30","19.15","11,655,810","231,799,000,000","0","0"
"MHC","6.10","0.39 (6.8 %)","5.71","6.10","6.10","6.00","518,550","3,159,000,000","0","0"
"HNG","11.75","0.75 (6.8 %)","11.00","10.95","11.75","10.95","2,456,530","27,640,000,000","2,970,000","31,285,000,000"
"JVC","4.41","0.28 (6.8 %)","4.13","4.15","4.41","4.08","1,208,790","5,156,000,000","0","0"
"SVT","14.40","0.90 (6.7 %)","13.50","14.00","14.40","14.00","500","7,000,000","0","0"
"TCM","32.80","2.05 (6.7 %)","30.75","30.70","32.80","30.40","1,374,900","43,662,000,000","0","0"
"TVB","11.35","0.70 (6.6 %)","10.65","10.80","11.35","10.20","1,375,570","14,978,000,000","0","0"
"TPC","7.99","0.49 (6.5 %)","7.50","7.99","7.99","7.99","10","0","0","0"
"SAM","10.75","0.65 (6.4 %)","10.10","10.20","10.80","10.00","155,580","1,652,000,000","0","0"
"ELC","7.36","0.44 (6.4 %)","6.92","7.40","7.40","7.00","741,550","5,460,000,000","0","0"
"DGW","70.90","4.20 (6.3 %)","66.70","67.10","70.90","66.40","767,950","53,092,000,000","0","0"
"ASM","11.25","0.65 (6.1 %)","10.60","10.60","11.30","10.35","5,474,950","58,806,000,000","0","0"
"CEE","15.90","0.90 (6.0 %)","15.00","14.95","15.90","14.00","22,330","330,000,000","0","0"
"DBC","44.00","2.45 (5.9 %)","41.55","41.70","44.00","41.50","4,085,900","176,164,000,000","0","0"
"NHH","51.40","2.70 (5.5 %)","48.70","48.70","51.40","48.70","136,990","6,815,000,000","1,100,000","50,578,000,000"
"GEX","21.70","1.10 (5.3 %)","20.60","20.55","21.75","20.55","15,309,010","325,916,000,000","2,901,720","55,903,196,000"
"SGT","5.89","0.29 (5.2 %)","5.60","5.80","5.89","5.22","1,350","7,000,000","0","0"
"VDS","8.19","0.39 (5.0 %)","7.80","7.80","8.19","7.80","1,910","16,000,000","0","0"
"SJF","2.12","0.10 (5.0 %)","2.02","2.04","2.15","2.01","1,488,190","3,120,000,000","0","0"
"FIT","8.44","0.38 (4.7 %)","8.06","8.06","8.59","8.01","910,860","7,612,000,000","0","0"
"HHS","5.13","0.23 (4.7 %)","4.90","4.90","5.17","4.89","5,315,770","26,800,000,000","0","0"
"SCR","7.06","0.31 (4.6 %)","6.75","6.75","7.19","6.75","6,908,090","48,209,000,000","0","0"
"VJC","118.90","5.20 (4.6 %)","113.70","113.00","120.50","113.00","829,730","96,120,000,000","3,228,000","363,227,600,000"
"TCD","10.65","0.45 (4.4 %)","10.20","10.20","10.65","10.00","530","5,000,000","0","0"
"LDG","6.95","0.29 (4.4 %)","6.66","6.73","6.99","6.65","8,906,400","60,871,000,000","80,000","569,600,000"
"HQC","1.70","0.07 (4.3 %)","1.63","1.63","1.74","1.62","15,308,460","26,074,000,000","0","0"
"DTA","4.06","0.16 (4.1 %)","3.90","4.08","4.08","4.06","20","0","0","0"
"AST","54.00","2.10 (4.0 %)","51.90","52.20","54.00","51.90","215,730","11,414,000,000","0","0"
"HU3","7.50","0.29 (4.0 %)","7.21","7.00","7.50","7.00","1,550","12,000,000","0","0"
"FMC","34.50","1.30 (3.9 %)","33.20","33.20","34.50","33.20","766,530","26,140,000,000","0","0"
"DLG","1.35","0.05 (3.8 %)","1.30","1.30","1.37","1.30","4,131,650","5,518,000,000","0","0"
"KBC","15.50","0.55 (3.7 %)","14.95","15.00","15.50","14.95","2,535,040","38,355,000,000","365,000","5,584,500,000"
"HTI","12.80","0.45 (3.6 %)","12.35","12.60","13.20","12.50","68,540","873,000,000","0","0"
"VTO","7.41","0.26 (3.6 %)","7.15","7.20","7.44","7.20","48,660","358,000,000","0","0"
