POM,3468,12.40,608490,117.54 %,2.26
AGR,1657.8,7.82,2119990,60.57 %,1.26
NKG,2620.8,14.40,5390450,56.52 %,0.80
VOS,313.6,2.24,1901290,55.56 %,1.81
TCM,2904.2,44.10,837970,55.28 %,0.89
CVT,1515.3,41.30,38590,53.25 %,0.05
ABS,475.2,16.50,252490,47.32 %,1.04
TVB,532.7,12.10,335460,46.81 %,0.45
ILB,634.6,25.90,127480,45.51 %,0.58
HSL,98.8,6.27,435450,43.89 %,2.96
ASM,3365.3,13.00,4344980,43.65 %,0.96
CTS,1106.9,10.40,629750,42.86 %,0.93
TLH,633.1,6.20,703750,42.53 %,0.90
SSI,12247.5,23.55,9023250,34.57 %,1.20
VIS,1317.9,17.85,3550,33.71 %,0.26
HAH,839.1,17.20,990840,32.82 %,1.08
HBC,2933.7,14.25,14336680,31.94 %,1.53
HNG,16018.6,14.45,2705230,30.18 %,0.68
L10,184.4,18.65,2040,29.51 %,6.43
PXS,411,6.85,113560,28.76 %,0.42
NVT,536.7,5.93,13230,28.63 %,2.11
HDC,2101.9,31.60,597950,28.46 %,0.70
GVR,83600,20.90,4719070,28.22 %,1.03
FUC,206.6,12.15,0,27.36 %,0
HDG,4867.4,31.55,2256630,27.22 %,1.04
CRC,288,19.20,383890,27.15 %,1.40
DIG,7905.1,25.10,3403730,27.09 %,0.86
TDP,1754.4,36.55,443800,26.73 %,0.91
FIT,2585.5,10.15,2541200,26.56 %,2.14
SFI,461.6,30.60,18490,26.45 %,1.75
CRE,2596,32.45,1432140,26.26 %,1.36
LHG,1630.4,32.60,179890,25.87 %,0.42
TIP,897.1,34.50,82020,24.55 %,0.57
HPG,128555.4,38.80,16641080,23.96 %,0.73
FUC,32.5,6.50,130,23.81 %,0.13
HTN,1429.9,43.25,94570,23.52 %,0.53
GMD,9234.4,31.10,10330800,23.17 %,3.02
CKG,685.1,13.05,924520,23.11 %,0.92
EVE,562.5,13.40,17020,22.94 %,0.33
BBC,942.2,61.10,9000,22.69 %,2.54
IDI,1452.4,6.38,2007150,22.22 %,0.65
VAF,452,12.00,130,22.20 %,0.36
PET,1303.3,15.05,1734430,21.86 %,0.71
HCM,8396.5,27.45,5954580,21.46 %,1.44
POW,27282.8,11.65,11348420,21.34 %,1.19
CIG,65.3,2.07,10150,21.05 %,2.13
BWE,4530,30.20,879170,20.80 %,1.05
GIL,1602,44.50,430600,20.60 %,1.04
CTI,882,14.00,853060,20.41 %,1.23
KPF,279.3,15.50,14750,20.16 %,8.27
DHC,3452.2,60.90,392030,20.12 %,0.92
TAC,1477.2,43.60,29610,19.94 %,0.67
HVH,199.7,9.10,126910,19.27 %,0.39
HAX,672.4,18.30,500550,19.22 %,0.70
