"HCM","26.50","1.70 (6.9 %)","24.80","24.95","26.50","24.95","22.155.480","571.551.000.000","20.000","499.000.000"
"SSI","21.90","1.35 (6.6 %)","20.55","20.65","21.95","20.65","11.532.900","245.967.000.000","0","0"
"DPM","18.15","0.80 (4.6 %)","17.35","17.50","18.15","17.45","10.265.090","183.857.000.000","0","0"
"BVH","57.60","1.60 (2.9 %)","56.00","56.50","58.20","56.40","1.601.980","91.844.000.000","0","0"
"FLC","4.37","0.12 (2.8 %)","4.25","4.30","4.43","4.28","11.917.070","52.084.000.000","0","0"
"CII","18.65","0.45 (2.5 %)","18.20","18.15","18.75","18.05","4.160.570","77.160.000.000","160.000","3.112.000.000"
"MBB","21.35","0.45 (2.2 %)","20.90","20.90","21.55","20.80","16.402.560","347.644.000.000","2.674.000","53.597.200.000"
"PPC","24.05","0.35 (1.5 %)","23.70","23.70","24.15","23.70","368.620","8.812.000.000","0","0"
"ITA","5.53","0.07 (1.3 %)","5.46","5.48","5.69","5.42","17.037.900","94.259.000.000","0","0"
"FPT","56.20","0.50 (0.9 %)","55.70","55.70","56.60","55.50","2.297.110","128.498.000.000","127.190","6.817.805.000"
"HPG","38.40","0.20 (0.5 %)","38.20","38.20","38.80","38.00","20.333.880","780.678.000.000","490.470","19.016.752.900"
"VJC","118.50","0.50 (0.4 %)","118.00","117.90","118.70","117.60","522.530","61.761.000.000","0","0"
"GMD","29.20","0.05 (0.2 %)","29.15","29.15","29.40","28.95","5.156.760","150.446.000.000","0","0"
"VCB","93.10","0.00 (0.0 %)","93.10","93.00","93.90","91.50","702.820","65.591.000.000","120.500","11.208.340.000"
"PVT","12.85","0.00 (0.0 %)","12.85","12.85","12.90","12.75","2.761.420","35.416.000.000","0","0"
"KDC","38.20","-0.10 (-0.3 %)","38.30","38.50","38.50","38.05","985.620","37.681.000.000","0","0"
"SBT","19.05","-0.05 (-0.3 %)","19.10","19.00","19.25","18.90","2.930.860","55.816.000.000","0","0"
"CTG","34.50","-0.20 (-0.6 %)","34.70","34.70","34.75","34.30","8.604.990","297.170.000.000","0","0"
"MSN","85.50","-0.50 (-0.6 %)","86.00","86.10","86.40","85.30","855.880","73.416.000.000","0","0"
"KBC","16.05","-0.10 (-0.6 %)","16.15","16.10","16.20","15.90","3.003.960","48.215.000.000","620.000","9.808.400.000"
"VNM","109.20","-0.80 (-0.7 %)","110.00","110.10","110.30","109.00","1.468.350","160.714.000.000","616.670","67.742.031.500"
"VIC","105.00","-0.80 (-0.8 %)","105.80","105.80","105.80","104.80","747.280","78.589.000.000","0","0"
"REE","46.50","-0.40 (-0.9 %)","46.90","46.90","47.10","46.50","415.460","19.397.000.000","250.000","11.725.000.000"
"PVD","13.40","-0.15 (-1.1 %)","13.55","13.50","13.60","13.40","6.710.250","90.397.000.000","0","0"
"NT2","23.70","-0.30 (-1.3 %)","24.00","23.65","23.80","23.60","533.010","12.634.000.000","0","0"
"HHS","4.88","-0.12 (-2.4 %)","5.00","5.00","5.00","4.88","3.634.690","17.935.000.000","0","0"
