"MBB","2.353.240","49.759.852.000","103.010","2.180.258.500","2.250.230","47.579.593.500","965.022","22.99%"
"VHM","2.550.850","215.658.650.000","402.860","34.310.840.000","2.147.990","181.347.810.000","904.953.367","21.98%"
"VRE","3.117.750","88.641.368.460","1.075.950","30.604.437.460","2.041.800","58.036.931.000","420.370.800","30.95%"
"HPG","3.934.330","135.336.300.000","2.050.690","72.484.800.000","1.883.640","62.851.500.000","524.205.344","33.18%"
"VPB","2.002.130","55.507.232.500","372.920","10.321.823.500","1.629.210","45.185.409.000","8.810.054","23.09%"
"GEX","1.217.720","25.182.120.000","200","4.130.000","1.217.520","25.177.990.000","173.469.153","13.47%"
"DXG","1.072.710","15.447.351.500","2.320","33.524.000","1.070.390","15.413.827.500","65.429.374","36.42%"
"FUEVFVND","963.120","14.872.777.000","33.760","520.991.600","929.360","14.351.785.400","1.768.685",""
"GVR","909.490","17.152.414.500","64.330","1.213.015.000","845.160","15.939.399.500","488.962.157","0.78%"
"POW","2.365.850","24.825.237.360","1.531.250","16.215.001.360","834.600","8.610.236.000","932.666.579","9.17%"
"VJC","786.700","90.099.524.000","29.400","3.481.063.000","757.300","86.618.461.000","62.509.006","18.46%"
"SSI","1.091.110","21.466.550.000","421.160","8.277.280.000","669.950","13.189.270.000","309.417.869","48.68%"
"FCN","603.340","7.885.530.000","28.340","369.340.000","575.000","7.516.190.000","25.358.974","53.79%"
"DPM","455.540","7.833.870.000","33.500","581.850.000","422.040","7.252.020.000","141.466.039","12.86%"
"BMP","424.940","26.194.870.000","19.380","1.195.060.000","405.560","24.999.810.000","14.597.132","82.17%"
"ASM","338.370","3.916.970.000","2.700","31.080.000","335.670","3.885.890.000","120.627.552","2.40%"
"E1VFVN30","1.506.070","24.666.866.300","1.252.740","20.516.826.900","253.330","4.150.039.400","9.341.390","47.08%"
"KBC","260.150","4.095.952.500","13.220","208.194.000","246.930","3.887.758.500","147.014.194","18.10%"
"HDB","254.830","5.621.814.000","43.970","970.453.000","210.860","4.651.361.000","58.827.342","16.87%"
"VNM","292.620","32.020.052.000","82.860","9.045.716.000","209.760","22.974.336.000","875.696.449","58.10%"
"PET","221.400","3.510.938.500","20.610","325.342.500","200.790","3.185.596.000","31.450.790","12.68%"
"MSN","250.640","20.918.512.000","52.820","4.418.703.000","197.820","16.499.809.000","180.347.552","33.65%"
"PLX","156.340","7.911.506.000","870","44.080.000","155.470","7.867.426.000","55.053.030","15.75%"
"SBT","160.000","3.045.230.000","30.610","581.296.500","129.390","2.463.933.500","550.462.438","9.87%"
"KSB","128.740","3.462.750.500","0","0","128.740","3.462.750.500","22.839.123","13.57%"
"FUEVN100","99.980","1.253.749.200","2.890","36.459.400","97.090","1.217.289.800","2.651.780",""
"LDG","95.710","644.656.500","0","0","95.710","644.656.500","115.338.324","0.98%"
"LHG","102.110","3.567.792.500","9.680","338.739.000","92.430","3.229.053.500","21.565.379","5.88%"
"BID","84.130","3.506.940.000","1.650","68.810.000","82.480","3.438.130.000","509.992.372","17.32%"
"AAA","61.900","802.769.000","110","1.408.000","61.790","801.361.000","216.759.378","2.37%"
"HAX","63.620","1.166.752.000","2.310","42.359.000","61.310","1.124.393.000","14.907.397","8.43%"
"CTD","106.640","6.778.130.000","46.310","2.928.890.000","60.330","3.849.240.000","2.248.887","46.16%"
"NVL","64.990","3.924.028.000","5.380","324.343.000","59.610","3.599.685.000","323.701.277","5.46%"
"SAB","118.080","23.086.250.000","60.340","11.856.020.000","57.740","11.230.230.000","236.404.669","63.14%"
"HNG","55.440","791.980.000","0","0","55.440","791.980.000","541.621.538","0.14%"
"HDG","51.930","1.573.960.000","40","1.200.000","51.890","1.572.760.000","59.555.951","10.40%"
"KDC","50.230","1.791.970.500","0","0","50.230","1.791.970.500","193.722.275","24.52%"
"KDH","753.740","20.288.089.000","708.950","19.076.380.000","44.790","1.211.709.000","57.949.867","38.99%"
"EVE","44.470","497.890.000","0","0","44.470","497.890.000","13.703.737","67.36%"
"VND","111.160","2.114.490.000","68.340","1.285.300.000","42.820","829.190.000","35.300.691","32.99%"
"FLC","54.870","228.820.000","12.400","51.580.000","42.470","177.240.000","330.511.497","2.45%"
"VIC","133.070","13.981.210.000","92.480","9.706.306.000","40.590","4.274.904.000","770.666.383","13.89%"
"PPC","41.180","1.004.630.000","850","20.650.000","40.330","983.980.000","109.755.549","15.36%"
"VGC","45.300","1.196.550.000","5.000","130.500.000","40.300","1.066.050.000","185.470.798","7.63%"
"TCM","166.040","6.145.227.000","126.300","4.710.500.000","39.740","1.434.727.000","-39.731","46.24%"
"APG","51.000","514.790.000","11.520","116.312.800","39.480","398.477.200","33.379.230","1.91%"
"APH","38.240","3.400.680.000","0","0","38.240","3.400.680.000","79.739.129","39.85%"
"BVH","57.290","3.173.843.000","19.910","1.103.085.000","37.380","2.070.758.000","151.962.575","28.53%"
"VHC","275.990","12.304.380.000","239.000","10.653.480.000","36.990","1.650.900.000","123.115.904","32.86%"
"PDR","117.830","4.803.604.000","84.190","3.413.192.500","33.640","1.390.411.500","191.186.954","0.74%"
"TLG","132.310","5.080.670.000","100.000","3.908.880.000","32.310","1.171.790.000","57.715.347","25.81%"
"AST","26.940","1.452.179.000","240","12.888.000","26.700","1.439.291.000","3.084.738","42.15%"
"AMD","24.480","64.770.000","0","0","24.480","64.770.000","79.194.273","0.56%"
"TDC","25.910","249.542.600","1.500","14.445.000","24.410","235.097.600","46.360.540","2.64%"
"GDT","74.370","2.848.030.000","50.000","1.918.750.000","24.370","929.280.000","4.768.823","21.17%"
"DGC","22.740","1.117.743.500","0","0","22.740","1.117.743.500","70.455.371","1.89%"
"SZC","23.580","702.209.500","1.000","30.000.000","22.580","672.209.500","48.100.160","0.90%"
"PTB","21.040","1.244.520.000","0","0","21.040","1.244.520.000","15.439.660","17.23%"
"BMI","21.640","665.720.000","800","24.520.000","20.840","641.200.000","13.271.849","34.47%"
"DAG","24.750","169.440.000","4.520","31.680.000","20.230","137.760.000","20.916.646","0.46%"
"TGG","19.230","19.230.000","0","0","19.230","19.230.000","13.138.745","0.87%"
"DAH","18.350","70.359.300","0","0","18.350","70.359.300","16.509.950","0.73%"
"HDC","21.440","564.080.000","3.520","96.030.000","17.920","468.050.000","30.854.427","2.61%"
"CTI","17.840","250.766.000","0","0","17.840","250.766.000","25.754.375","8.12%"
"IJC","40.570","566.540.000","23.520","328.320.000","17.050","238.220.000","65.226.755","1.42%"
"PC1","17.270","387.855.000","800","17.760.000","16.470","370.095.000","55.916.483","13.90%"
"SZL","16.470","877.450.000","0","0","16.470","877.450.000","6.749.080","15.25%"
"HT1","15.900","253.316.500","0","0","15.900","253.316.500","164.311.043","5.94%"
"CII","45.910","783.830.000","30.800","525.140.000","15.110","258.690.000","115.347.992","29.27%"
"GAS","26.460","2.210.266.000","12.360","1.030.399.000","14.100","1.179.867.000","879.471.782","3.08%"
"VSC","66.790","3.539.335.000","53.150","2.816.683.000","13.640","722.652.000","11.425.116","28.27%"
"BCG","15.430","125.989.500","2.050","16.748.500","13.380","109.241.000","29.169.547","18.05%"
"GIL","20.970","823.000.000","7.810","307.080.000","13.160","515.920.000","14.518.020","8.67%"
"TVS","80.100","959.970.000","67.180","806.160.000","12.920","153.810.000","20.737.027","25.99%"
"TNA","12.100","164.690.000","0","0","12.100","164.690.000","17.388.405","5.23%"
"HHS","13.150","63.692.700","2.200","10.626.000","10.950","53.066.700","125.959.510","3.15%"
"LSS","10.930","84.030.000","0","0","10.930","84.030.000","33.020.463","1.83%"
"JVC","20.710","92.223.500","9.970","45.214.500","10.740","47.009.000","40.366.141","8.86%"
"DHM","12.250","115.011.500","1.530","14.287.900","10.720","100.723.600","15.109.119","0.88%"
"VIB","10.600","329.200.000","0","0","10.600","329.200.000","2.710.068","29.57%"
"SCS","10.390","1.311.570.000","0","0","10.390","1.311.570.000","13.928.055","29.02%"
"DMC","10.390","577.504.000","530","29.415.000","9.860","548.089.000","14.746.610","57.54%"
"HAR","15.380","62.775.900","5.570","22.578.600","9.810","40.197.300","49.450.310","0.21%"
"ICT","9.390","220.260.000","0","0","9.390","220.260.000","32.022.580","0.25%"
"SJF","8.880","18.090.000","0","0","8.880","18.090.000","38.225.946","0.73%"
"DPG","13.310","378.536.500","4.650","132.473.500","8.660","246.063.000","21.881.263","0.37%"
"NNC","8.390","360.370.000","0","0","8.390","360.370.000","7.452.616","15.00%"
"SHI","7.740","67.392.200","0","0","7.740","67.392.200","42.447.143","0.26%"
"EVG","7.590","44.590.600","200","1.158.000","7.390","43.432.600","28.622.650","1.30%"
"DSN","7.200","334.113.000","0","0","7.200","334.113.000","3.585.061","19.33%"
"BIC","20.720","406.933.500","13.600","265.557.500","7.120","141.376.000","2.451.863","46.91%"
"SJS","8.840","237.796.000","2.030","54.079.500","6.810","183.716.500","53.825.814","2.14%"
"YEG","7.530","377.920.000","1.880","92.560.000","5.650","285.360.000","21.962.747","29.79%"
"BFC","5.530","85.690.000","0","0","5.530","85.690.000","25.330.356","4.69%"
"ANV","7.380","168.503.000","2.120","47.700.000","5.260","120.803.000","60.809.245","1.32%"
"TVB","5.050","62.850.000","140","1.750.000","4.910","61.100.000","25.121.267","0.80%"
"NHH","4.830","239.340.000","0","0","4.830","239.340.000","34.425.370","0.04%"
"TDM","5.630","153.710.000","1.000","27.400.000","4.630","126.310.000","42.473.980","6.53%"
"UDC","4.400","22.764.000","0","0","4.400","22.764.000","15.627.680","4.35%"
"TSC","4.330","12.040.000","0","0","4.330","12.040.000","71.522.926","0.56%"
"VSH","4.290","80.460.000","0","0","4.290","80.460.000","76.366.298","11.97%"
"HII","4.020","62.284.000","0","0","4.020","62.284.000","15.566.684","0.40%"
"APC","3.800","88.590.000","0","0","3.800","88.590.000","6.619.194","16.10%"
"PAN","3.540","74.430.000","0","0","3.540","74.430.000","13.595.748","42.72%"
"TNI","3.500","10.010.000","0","0","3.500","10.010.000","25.376.380","0.66%"
"KMR","3.480","8.526.000","0","0","3.480","8.526.000","21.139.730","62.84%"
"DBC","4.160","176.368.000","1.300","55.530.000","2.860","120.838.000","49.257.237","1.98%"
"TPB","2.430","54.053.500","0","0","2.430","54.053.500","22.300","30.00%"
"TMP","2.380","102.340.000","0","0","2.380","102.340.000","33.900.880","0.57%"
"SGN","2.250","156.080.000","10","690.000","2.240","155.390.000","9.353.921","2.15%"
"STK","2.230","45.054.000","0","0","2.230","45.054.000","28.659.712","8.48%"
"CRC","2.010","34.773.000","0","0","2.010","34.773.000","7.197.530","1.02%"
"CKG","2.000","21.650.000","0","0","2.000","21.650.000","25.197.862","1.00%"
"BTT","1.650","61.880.000","0","0","1.650","61.880.000","6.600.697","0.11%"
"NSC","1.310","100.120.000","100","7.600.000","1.210","92.520.000","7.438.014","6.71%"
"TIP","2.860","98.340.000","2.000","69.900.000","860","28.440.000","8.952.833","14.57%"
"BMC","850","8.672.500","0","0","850","8.672.500","3.607.097","19.89%"
