"SFC","24.60","1.60 (7.0 %)","23.00","24.60","24.60","24.60","5,060","124,000,000","0","0"
"TTE","9.44","0.61 (6.9 %)","8.83","9.44","9.44","9.44","10","0","0","0"
"TTF","7.76","0.50 (6.9 %)","7.26","7.50","7.76","7.35","2,685,470","20,600,000,000","0","0"
"DXV","3.42","0.22 (6.9 %)","3.20","3.42","3.42","3.42","500","2,000,000","0","0"
"DAT","35.80","2.30 (6.9 %)","33.50","33.50","35.80","33.50","2,760","97,000,000","0","0"
"L10","15.00","0.95 (6.8 %)","14.05","13.25","15.00","13.25","60","1,000,000","0","0"
"TS4","3.50","0.22 (6.7 %)","3.28","3.28","3.50","3.28","41,740","140,000,000","0","0"
"BSI","10.10","0.63 (6.7 %)","9.47","9.47","10.10","9.40","394,760","3,889,000,000","0","0"
"VTB","10.45","0.65 (6.6 %)","9.80","10.45","10.45","10.45","52,610","550,000,000","0","0"
"TCO","13.10","0.80 (6.5 %)","12.30","13.10","13.10","13.10","10","0","0","0"
"GAB","185.80","11.00 (6.3 %)","174.80","175.00","185.80","175.00","185,540","32,744,000,000","0","0"
"CTD","57.80","3.40 (6.3 %)","54.40","54.50","57.80","54.50","969,710","54,697,000,000","0","0"
"VDS","8.24","0.48 (6.2 %)","7.76","7.76","8.24","7.76","6,560","54,000,000","0","0"
"GVR","14.80","0.85 (6.1 %)","13.95","14.15","14.85","13.95","6,244,920","90,447,000,000","0","0"
"SRC","18.00","1.00 (5.9 %)","17.00","15.90","18.00","15.90","19,620","329,000,000","0","0"
"SVC","71.00","3.90 (5.8 %)","67.10","70.90","71.00","70.90","1,170","83,000,000","0","0"
"VMD","25.60","1.40 (5.8 %)","24.20","24.50","25.60","24.50","6,730","168,000,000","0","0"
"HU3","8.40","0.45 (5.7 %)","7.95","8.00","8.40","8.00","34,320","286,000,000","0","0"
"HVX","3.40","0.17 (5.3 %)","3.23","3.44","3.44","3.40","120","0","0","0"
"SC5","18.90","0.90 (5.0 %)","18.00","17.50","18.90","17.00","18,400","322,000,000","0","0"
"SMA","9.95","0.45 (4.7 %)","9.50","8.85","9.95","8.85","1,510","13,000,000","0","0"
"SHP","24.70","1.00 (4.2 %)","23.70","23.80","25.00","23.50","3,020","72,000,000","0","0"
"ACC","19.80","0.80 (4.2 %)","19.00","19.80","19.80","19.80","10","0","0","0"
"SGN","68.60","2.60 (3.9 %)","66.00","66.90","68.60","66.00","5,470","367,000,000","0","0"
"FUEVN100","12.15","0.45 (3.8 %)","11.70","11.75","12.15","11.64","1,050","13,000,000","0","0"
"VNE","5.29","0.19 (3.7 %)","5.10","5.40","5.40","5.20","11,190","58,000,000","0","0"
"LM8","11.15","0.40 (3.7 %)","10.75","11.45","11.45","11.15","930","10,000,000","0","0"
"TEG","4.75","0.17 (3.7 %)","4.58","4.84","4.84","4.60","30,070","143,000,000","0","0"
"HDC","22.80","0.80 (3.6 %)","22.00","21.85","22.95","21.85","726,210","16,280,000,000","33,500","740,350,000"
"MDG","11.40","0.40 (3.6 %)","11.00","10.50","11.40","10.50","1,910","20,000,000","0","0"
"HBC","11.40","0.40 (3.6 %)","11.00","11.10","11.45","11.05","8,095,860","91,418,000,000","0","0"
"DHA","41.30","1.30 (3.2 %)","40.00","40.00","42.30","39.10","71,310","2,900,000,000","0","0"
"CKG","11.15","0.35 (3.2 %)","10.80","10.90","11.20","10.75","829,820","9,160,000,000","0","0"
"CTG","32.15","1.00 (3.2 %)","31.15","32.10","32.45","31.90","9,648,680","310,565,000,000","3,710,000","117,180,000,000"
